property,location,style,price_range,affiliate_url
Beachfront Villa Malibu,Malibu California,Modern,$10M+,https://airbnb.com/your-link
Manhattan Penthouse,New York City,Contemporary,$5M-10M,https://vrbo.com/your-link
Santorini Cliffside Villa,Santorini Greece,Mediterranean,$1M-5M,https://booking.com/your-link
Beverly Hills Mansion,Beverly Hills California,Classic,$10M+,https://airbnb.com/your-link
Dubai Palm Villa,Dubai UAE,Ultra Modern,$10M+,https://airbnb.com/your-link
Tuscan Countryside Estate,Tuscany Italy,Rustic Luxury,$1M-5M,https://booking.com/your-link
Monaco Waterfront Penthouse,Monaco,Contemporary,$10M+,https://vrbo.com/your-link
Bali Luxury Jungle Villa,Bali Indonesia,Tropical Modern,$500K-1M,https://airbnb.com/your-link
Swiss Alpine Chalet,Swiss Alps Switzerland,Mountain Luxury,$5M-10M,https://booking.com/your-link
Amalfi Coast Villa,Amalfi Italy,Mediterranean,$1M-5M,https://airbnb.com/your-link
Hamptons Beach House,Hamptons New York,Modern Classic,$5M-10M,https://vrbo.com/your-link
Miami Waterfront Mansion,Miami Florida,Ultra Modern,$10M+,https://airbnb.com/your-link
Paris Haussmann Apartment,Paris France,Classic French,$2M-5M,https://booking.com/your-link
Mykonos Luxury Villa,Mykonos Greece,Cycladic Modern,$1M-5M,https://airbnb.com/your-link
Cape Town Clifftop Villa,Cape Town South Africa,Contemporary,$1M-5M,https://booking.com/your-link
Aspen Mountain Retreat,Aspen Colorado,Ski Chalet,$5M-10M,https://vrbo.com/your-link
Hawaii Oceanfront Estate,Maui Hawaii,Tropical Luxury,$5M-10M,https://airbnb.com/your-link
London Chelsea Townhouse,London UK,Classic British,$3M-8M,https://booking.com/your-link
Sydney Harbour View Villa,Sydney Australia,Modern,$2M-5M,https://airbnb.com/your-link
Ibiza Hilltop Villa,Ibiza Spain,Mediterranean Modern,$1M-3M,https://booking.com/your-link
Maldives Water Villa,Maldives,Overwater Luxury,$2M-5M,https://airbnb.com/your-link
Costa Rica Jungle Estate,Costa Rica,Eco Luxury,$500K-2M,https://vrbo.com/your-link
Lake Como Villa,Lake Como Italy,Classic Italian,$3M-8M,https://booking.com/your-link
Singapore Penthouse,Singapore,Ultra Modern,$5M-10M,https://airbnb.com/your-link
French Riviera Villa,Nice France,Mediterranean,$2M-5M,https://booking.com/your-link
